id,tiempo,intentos,puntaje,estado
Estudiante_Ana,3.4,1,95,completado
Estudiante_Carlos,1.2,1,0,abandonado
Estudiante_Beatriz,5.8,2,80,completado
Estudiante_David,4.2,1,88,completado
Estudiante_Elena,1.5,1,0,abandonado
Estudiante_Fernando,6.3,2,75,completado
Estudiante_Gabriela,3.9,1,92,completado
Estudiante_Hugo,7.1,3,68,completado
Estudiante_Isabel,4.8,1,85,completado
Estudiante_Javier,1.1,1,0,abandonado
Estudiante_Karla,5.2,2,90,completado
Estudiante_Luis,8.4,3,72,completado
Estudiante_Maria,3.1,1,98,completado
Estudiante_Nicolas,2.0,1,0,abandonado
Estudiante_Olga,6.0,2,82,completado
Estudiante_Pablo,4.5,1,89,completado
Estudiante_Queta,9.2,4,65,completado
Estudiante_Roberto,1.8,1,0,abandonado
Estudiante_Sofia,3.6,1,94,completado
Estudiante_Tomas,5.5,2,78,completado
Estudiante_Ursula,4.1,1,86,completado
Estudiante_Valeria,7.8,3,70,completado
Estudiante_William,1.4,1,0,abandonado
Estudiante_Ximena,4.9,2,91,completado
Estudiante_Yolanda,6.7,2,84,completado
Estudiante_Zach,1.6,1,0,abandonado
Estudiante_Alejandro,5.0,1,87,completado
Estudiante_Camila,3.8,1,96,completado
Estudiante_Daniel,8.9,4,62,completado
Estudiante_Diana,4.3,1,90,completado
Estudiante_Esteban,1.3,1,0,abandonado
Estudiante_Florencia,6.1,2,79,completado
Estudiante_Gonzalo,5.4,2,83,completado
Estudiante_Helena,3.5,1,93,completado
Estudiante_Ignacio,2.2,1,0,abandonado
Estudiante_Jimena,4.7,1,88,completado
Estudiante_Lucas,7.5,3,74,completado
Estudiante_Mariana,3.2,1,100,completado
Estudiante_Natalia,5.9,2,81,completado
Estudiante_Oscar,1.9,1,0,abandonado
Estudiante_Patricia,6.4,2,77,completado
Estudiante_Rodrigo,4.6,1,85,completado
Estudiante_Sara,3.7,1,95,completado
Estudiante_Thiago,8.1,3,69,completado
Estudiante_Valentina,4.0,1,91,completado
Estudiante_Vicente,1.7,1,0,abandonado
Estudiante_Wendy,5.6,2,82,completado
Estudiante_Yamil,7.0,3,73,completado
Estudiante_Zulma,3.3,1,97,completado
Estudiante_Andres,1.0,1,0,abandonado
Estudiante_Brenda,6.2,2,80,completado
Estudiante_Cesar,4.4,1,86,completado
Estudiante_Daniela,8.6,4,64,completado
Estudiante_Eduardo,5.1,1,89,completado
Estudiante_Fabiola,1.5,1,0,abandonado
Estudiante_Gabriel,6.8,2,76,completado
Estudiante_Gloria,3.9,1,93,completado
Estudiante_Hector,7.4,3,71,completado
Estudiante_Irene,4.2,1,88,completado
Estudiante_Jorge,5.7,2,84,completado
